serial,date,reads
1,2003-01-01,141.0
2,2003-01-01,183.3
1,2003-02-01,157.0
2,2003-02-01,204.1
1,2003-03-01,185.0
2,2003-03-01,240.5
1,2003-04-01,199.0
2,2003-04-01,258.7
1,2003-05-01,203.0
2,2003-05-01,263.9
1,2003-06-01,189.0
2,2003-06-01,245.7
1,2003-07-01,207.0
2,2003-07-01,269.1
1,2003-08-01,207.0
2,2003-08-01,269.1
1,2003-09-01,171.0
2,2003-09-01,222.3
1,2003-10-01,150.0
2,2003-10-01,195.0
1,2003-11-01,138.0
2,2003-11-01,179.4
1,2003-12-01,165.0
2,2003-12-01,214.5
1,2004-01-01,145.0
2,2004-01-01,188.5
1,2004-02-01,168.0
2,2004-02-01,218.4
1,2004-03-01,197.0
2,2004-03-01,256.1
1,2004-04-01,208.0
2,2004-04-01,270.4
1,2004-05-01,210.0
2,2004-05-01,273.0
1,2004-06-01,209.0
2,2004-06-01,271.7
1,2004-07-01,238.0
2,2004-07-01,309.4
1,2004-08-01,238.0
2,2004-08-01,309.4
1,2004-09-01,199.0
2,2004-09-01,258.7
1,2004-10-01,168.0
2,2004-10-01,218.4
1,2004-11-01,152.0
2,2004-11-01,197.6
1,2004-12-01,196.0
2,2004-12-01,254.8
1,2005-01-01,183.0
2,2005-01-01,237.9
1,2005-02-01,200.0
2,2005-02-01,260.0
1,2005-03-01,249.0
2,2005-03-01,323.7
1,2005-04-01,251.0
2,2005-04-01,326.3
1,2005-05-01,289.0
2,2005-05-01,375.7
1,2005-06-01,249.0
2,2005-06-01,323.7
1,2005-07-01,279.0
2,2005-07-01,362.7
1,2005-08-01,279.0
2,2005-08-01,362.7
1,2005-09-01,232.0
2,2005-09-01,301.6
1,2005-10-01,204.0
2,2005-10-01,265.2
1,2005-11-01,194.0
2,2005-11-01,252.2
1,2005-12-01,232.0
2,2005-12-01,301.6
1,2006-01-01,215.0
2,2006-01-01,279.5
1,2006-02-01,239.0
2,2006-02-01,310.7
1,2006-03-01,270.0
2,2006-03-01,351.0
1,2006-04-01,279.0
2,2006-04-01,362.7
1,2006-05-01,307.0
2,2006-05-01,399.1
1,2006-06-01,305.0
2,2006-06-01,396.5
1,2006-07-01,322.0
2,2006-07-01,418.6
1,2006-08-01,339.0
2,2006-08-01,440.7
1,2006-09-01,263.0
2,2006-09-01,341.9
1,2006-10-01,241.0
2,2006-10-01,313.3
1,2006-11-01,229.0
2,2006-11-01,297.7
1,2006-12-01,272.0
2,2006-12-01,353.6
1,2007-01-01,247.0
2,2007-01-01,321.1
1,2007-02-01,261.0
2,2007-02-01,339.3
1,2007-03-01,330.0
2,2007-03-01,429.0
1,2007-04-01,362.0
2,2007-04-01,470.6
1,2007-05-01,385.0
2,2007-05-01,500.5
1,2007-06-01,340.0
2,2007-06-01,442.0
1,2007-07-01,370.0
2,2007-07-01,481.0
1,2007-08-01,381.0
2,2007-08-01,495.3
1,2007-09-01,299.0
2,2007-09-01,388.7
1,2007-10-01,266.0
2,2007-10-01,345.8
1,2007-11-01,239.0
2,2007-11-01,310.7
1,2007-12-01,281.0
2,2007-12-01,365.3
1,2008-01-01,257.0
2,2008-01-01,334.1
1,2008-02-01,250.0
2,2008-02-01,325.0
1,2008-03-01,329.0
2,2008-03-01,427.7
1,2008-04-01,350.0
2,2008-04-01,455.0
1,2008-05-01,393.0
2,2008-05-01,510.9
1,2008-06-01,370.0
2,2008-06-01,481.0
1,2008-07-01,423.0
2,2008-07-01,549.9
1,2008-08-01,410.0
2,2008-08-01,533.0
1,2008-09-01,326.0
2,2008-09-01,423.8
1,2008-10-01,289.0
2,2008-10-01,375.7
1,2008-11-01,270.0
2,2008-11-01,351.0
1,2008-12-01,321.0
2,2008-12-01,417.3
1,2009-01-01,305.0
2,2009-01-01,396.5
1,2009-02-01,310.0
2,2009-02-01,403.0
1,2009-03-01,374.0
2,2009-03-01,486.2
1,2009-04-01,414.0
2,2009-04-01,538.2
1,2009-05-01,454.0
2,2009-05-01,590.2
1,2009-06-01,441.0
2,2009-06-01,573.3
1,2009-07-01,510.0
2,2009-07-01,663.0
1,2009-08-01,486.0
2,2009-08-01,631.8
1,2009-09-01,393.0
2,2009-09-01,510.9
1,2009-10-01,345.0
2,2009-10-01,448.5
1,2009-11-01,315.0
2,2009-11-01,409.5
1,2009-12-01,389.0
2,2009-12-01,505.7
1,2010-01-01,358.0
2,2010-01-01,465.4
1,2010-02-01,368.0
2,2010-02-01,478.4
1,2010-03-01,444.0
2,2010-03-01,577.2
1,2010-04-01,482.0
2,2010-04-01,626.6
1,2010-05-01,534.0
2,2010-05-01,694.2
1,2010-06-01,524.0
2,2010-06-01,681.2
1,2010-07-01,578.0
2,2010-07-01,751.4
1,2010-08-01,567.0
2,2010-08-01,737.1
1,2010-09-01,447.0
2,2010-09-01,581.1
1,2010-10-01,386.0
2,2010-10-01,501.8
1,2010-11-01,360.0
2,2010-11-01,468.0
1,2010-12-01,428.0
2,2010-12-01,556.4
1,2011-01-01,397.0
2,2011-01-01,516.1
1,2011-02-01,400.0
2,2011-02-01,520.0
1,2011-03-01,498.0
2,2011-03-01,647.4
1,2011-04-01,536.0
2,2011-04-01,696.8
1,2011-05-01,596.0
2,2011-05-01,774.8
1,2011-06-01,591.0
2,2011-06-01,768.3
1,2011-07-01,651.0
2,2011-07-01,846.3
1,2011-08-01,654.0
2,2011-08-01,850.2
1,2011-09-01,509.0
2,2011-09-01,661.7
1,2011-10-01,437.0
2,2011-10-01,568.1
1,2011-11-01,406.0
2,2011-11-01,527.8
1,2011-12-01,470.0
2,2011-12-01,611.0
1,2012-01-01,428.0
2,2012-01-01,556.4
1,2012-02-01,423.0
2,2012-02-01,549.9
1,2012-03-01,507.0
2,2012-03-01,659.1
1,2012-04-01,536.0
2,2012-04-01,696.8
1,2012-05-01,610.0
2,2012-05-01,793.0
1,2012-06-01,609.0
2,2012-06-01,791.7
1,2012-07-01,687.0
2,2012-07-01,893.1
1,2012-08-01,707.0
2,2012-08-01,919.1
1,2012-09-01,509.0
2,2012-09-01,661.7
1,2012-10-01,452.0
2,2012-10-01,587.6
1,2012-11-01,412.0
2,2012-11-01,535.6
1,2012-12-01,472.0
2,2012-12-01,613.6
1,2013-01-01,454.0
2,2013-01-01,590.2
1,2013-02-01,455.0
2,2013-02-01,591.5
1,2013-03-01,568.0
2,2013-03-01,738.4
1,2013-04-01,610.0
2,2013-04-01,793.0
1,2013-05-01,706.0
2,2013-05-01,917.8
1,2013-06-01,661.0
2,2013-06-01,859.3
1,2013-07-01,767.0
2,2013-07-01,997.1
1,2013-08-01,783.0
2,2013-08-01,1017.9
1,2013-09-01,583.0
2,2013-09-01,757.9
1,2013-10-01,513.0
2,2013-10-01,666.9
1,2013-11-01,481.0
2,2013-11-01,625.3
1,2013-12-01,567.0
2,2013-12-01,737.1
1,2014-01-01,525.0
2,2014-01-01,682.5
1,2014-02-01,520.0
2,2014-02-01,676.0
1,2014-03-01,587.0
2,2014-03-01,763.1
1,2014-04-01,710.0
2,2014-04-01,923.0
1,2014-05-01,793.0
2,2014-05-01,1030.9
1,2014-06-01,749.0
2,2014-06-01,973.7
1,2014-07-01,871.0
2,2014-07-01,1132.3
1,2014-08-01,848.0
2,2014-08-01,1102.4
1,2014-09-01,640.0
2,2014-09-01,832.0
1,2014-10-01,581.0
2,2014-10-01,755.3
1,2014-11-01,519.0
2,2014-11-01,674.7
1,2014-12-01,605.0
2,2014-12-01,786.5
